CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,03-08-01,17,5.0,2.0,6.0,29.0,26-08:46:48,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0,MCS 10,33.0,0-12:40:37,0-00:17:12,7.3,-91.0,-95.0,-90.0,-96.0,6.0,MCS 10,7030,MCS 0,1770,0
2025-03-07,03-08-11,17,5.0,2.0,6.0,29.0,26-08:46:56,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0,MCS 10,33.0,0-12:40:46,0-00:17:19,7.3,-89.0,-90.0,-87.0,-95.0,8.0,MCS 10 short GI,7092,MCS 0,1788,0
2025-03-07,03-08-22,17,5.0,2.0,6.0,29.0,26-08:47:08,70,-80.0,-104.0,-80.0,-107.0,27.0,MCS 0,MCS 10 shortGI,33.0,0-12:40:58,0-00:17:31,7.3,-89.0,-91.0,-87.0,-96.0,9.0,MCS 10 short GI,7201,MCS 0,1819,0
2025-03-07,03-08-32,17,5.0,2.0,6.0,29.0,26-08:47:20,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:41:07,0-00:17:43,7.3,-90.0,-92.0,-88.0,-95.0,7.0,MCS 10 short GI,7279,MCS 0 short GI,1847,0
2025-03-07,03-08-42,17,5.0,2.0,6.0,29.0,26-08:47:31,69,-81.0,-109.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:41:19,0-00:17:54,7.3,-91.0,-92.0,-88.0,-95.0,7.0,MCS 10 short GI,7373,MCS 0 short GI,1875,0
2025-03-07,03-08-53,17,5.0,2.0,6.0,29.0,26-08:47:39,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:41:28,0-00:18:02,7.3,-89.0,-93.0,-88.0,-96.0,8.0,MCS 10 short GI,7442,MCS 0 short GI,1898,0
2025-03-07,03-09-03,17,5.0,2.0,6.0,29.0,26-08:47:50,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:41:40,0-00:18:14,7.3,-91.0,-94.0,-89.0,-97.0,8.0,MCS 10 short GI,7525,MCS 0 short GI,1926,0
2025-03-07,03-09-13,17,5.0,2.0,6.0,29.0,26-08:48:02,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:41:49,0-00:18:25,7.3,-91.0,-93.0,-89.0,-97.0,8.0,MCS 10 short GI,7616,MCS 0 short GI,1951,0
2025-03-07,03-09-24,17,5.0,2.0,6.0,29.0,26-08:48:10,69,-81.0,-104.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:42:01,0-00:18:33,7.3,-91.0,-94.0,-89.0,-97.0,8.0,MCS 10 short GI,7692,MCS 0 short GI,1973,0
2025-03-07,03-09-34,17,5.0,2.0,6.0,29.0,26-08:48:22,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:42:10,0-00:18:45,7.3,-91.0,-92.0,-89.0,-97.0,8.0,MCS 10 short GI,7778,MCS 0 short GI,2001,0
